ion,feature_id,cluster_mz,n_present_samples,min_detection_fraction,median_detection_fraction,n_total_samples,presence_fraction,passes
pos,pos_mz_167.0701_06438,167.07014999999998,1,0.8252427184466019,0.8252427184466019,1,1.0,True
pos,pos_mz_167.1039_06445,167.10389999999998,1,1.0,1.0,1,1.0,True
pos,pos_mz_168.9645_06500,168.9645,1,0.9805825242718447,0.9805825242718447,1,1.0,True
pos,pos_mz_169.0857_06523,169.08571428571426,1,0.883495145631068,0.883495145631068,1,1.0,True
pos,pos_mz_169.1218_06532,169.121825,1,1.0,1.0,1,1.0,True
pos,pos_mz_170.9632_06597,170.96318571428574,1,0.8155339805825242,0.8155339805825242,1,1.0,True
pos,pos_mz_171.0990_06623,171.09895,1,0.8058252427184466,0.8058252427184466,1,1.0,True
pos,pos_mz_171.1011_06625,171.1011,1,0.9902912621359223,0.9902912621359223,1,1.0,True
pos,pos_mz_171.1374_06634,171.13739999999999,1,0.9902912621359223,0.9902912621359223,1,1.0,True
pos,pos_mz_171.1489_06639,171.14894999999999,1,1.0,1.0,1,1.0,True
pos,pos_mz_172.1690_06694,172.169,1,0.883495145631068,0.883495145631068,1,1.0,True
pos,pos_mz_173.0117_06729,173.0117,1,0.9805825242718447,0.9805825242718447,1,1.0,True
pos,pos_mz_173.0806_06747,173.08055000000002,1,0.8058252427184466,0.8058252427184466,1,1.0,True
pos,pos_mz_173.1531_06766,173.1531,1,0.8058252427184466,0.8058252427184466,1,1.0,True
pos,pos_mz_174.1121_06820,174.1121,1,0.883495145631068,0.883495145631068,1,1.0,True
pos,pos_mz_174.1276_06823,174.12755,1,1.0,1.0,1,1.0,True
pos,pos_mz_174.9847_06853,174.9847,1,1.0,1.0,1,1.0,True
pos,pos_mz_175.0177_06868,175.01774999999998,1,0.9805825242718447,0.9805825242718447,1,1.0,True
pos,pos_mz_175.1112_06895,175.1112,1,0.8932038834951457,0.8932038834951457,1,1.0,True
pos,pos_mz_175.1304_06903,175.13045,1,1.0,1.0,1,1.0,True
pos,pos_mz_175.9841_06924,175.98405000000002,1,0.941747572815534,0.941747572815534,1,1.0,True
pos,pos_mz_176.9804_06999,176.98035000000002,1,0.8446601941747572,0.8446601941747572,1,1.0,True
pos,pos_mz_177.0335_07022,177.03345000000002,1,0.9902912621359223,0.9902912621359223,1,1.0,True
pos,pos_mz_177.0542_07032,177.05425,1,0.912621359223301,0.912621359223301,1,1.0,True
pos,pos_mz_177.0698_07037,177.0698,1,0.9514563106796117,0.9514563106796117,1,1.0,True
pos,pos_mz_177.1269_07059,177.1269,1,0.9223300970873787,0.9223300970873787,1,1.0,True
pos,pos_mz_177.1634_07069,177.16335,1,0.9514563106796117,0.9514563106796117,1,1.0,True
pos,pos_mz_178.0349_07106,178.03490000000002,1,1.0,1.0,1,1.0,True
pos,pos_mz_179.0011_07165,179.00115,1,0.8932038834951457,0.8932038834951457,1,1.0,True
pos,pos_mz_179.0383_07182,179.03825,1,0.8058252427184466,0.8058252427184466,1,1.0,True
pos,pos_mz_179.1041_07206,179.10405,1,0.8155339805825242,0.8155339805825242,1,1.0,True
pos,pos_mz_181.1197_07343,181.11965,1,0.8252427184466019,0.8252427184466019,1,1.0,True
pos,pos_mz_181.1217_07344,181.1216666666667,1,1.0,1.0,1,1.0,True
pos,pos_mz_182.9017_07398,182.90166666666667,1,1.0,1.0,1,1.0,True
pos,pos_mz_183.0225_07416,183.02254999999997,1,1.0,1.0,1,1.0,True
pos,pos_mz_183.1010_07441,183.10095,1,0.9320388349514563,0.9320388349514563,1,1.0,True
pos,pos_mz_183.1351_07445,183.13505000000004,1,0.9805825242718447,0.9805825242718447,1,1.0,True
pos,pos_mz_183.9786_07462,183.97855,1,0.8252427184466019,0.8252427184466019,1,1.0,True
pos,pos_mz_183.9846_07464,183.98464999999996,1,0.912621359223301,0.912621359223301,1,1.0,True
pos,pos_mz_184.9689_07517,184.96885,1,0.9320388349514563,0.9320388349514563,1,1.0,True
pos,pos_mz_184.9926_07526,184.99259999999998,1,0.8543689320388349,0.8543689320388349,1,1.0,True
pos,pos_mz_185.1145_07555,185.11445,1,0.8932038834951457,0.8932038834951457,1,1.0,True
pos,pos_mz_185.1168_07558,185.11684999999997,1,0.9029126213592233,0.9029126213592233,1,1.0,True
pos,pos_mz_187.1259_07659,187.12595,1,0.8543689320388349,0.8543689320388349,1,1.0,True
pos,pos_mz_191.0488_07802,191.0488,1,0.883495145631068,0.883495145631068,1,1.0,True
pos,pos_mz_191.0851_07812,191.08509999999998,1,0.8058252427184466,0.8058252427184466,1,1.0,True
pos,pos_mz_191.1038_07818,191.10385,1,0.8737864077669902,0.8737864077669902,1,1.0,True
pos,pos_mz_193.0831_07900,193.08315,1,0.8252427184466019,0.8252427184466019,1,1.0,True
pos,pos_mz_193.1305_07914,193.13055,1,0.912621359223301,0.912621359223301,1,1.0,True
pos,pos_mz_193.1582_07921,193.15815,1,0.8737864077669902,0.8737864077669902,1,1.0,True
pos,pos_mz_194.1337_07949,194.13369999999998,1,0.9029126213592233,0.9029126213592233,1,1.0,True
pos,pos_mz_195.0984_07984,195.0984,1,0.8640776699029126,0.8640776699029126,1,1.0,True
pos,pos_mz_195.1375_07995,195.13745,1,0.8058252427184466,0.8058252427184466,1,1.0,True
pos,pos_mz_195.1736_08000,195.17355,1,0.9902912621359223,0.9902912621359223,1,1.0,True
pos,pos_mz_197.1532_08085,197.15315,1,0.8349514563106796,0.8349514563106796,1,1.0,True
pos,pos_mz_199.1321_08189,199.13214999999997,1,0.9223300970873787,0.9223300970873787,1,1.0,True
pos,pos_mz_201.0331_08262,201.03310000000002,1,0.8349514563106796,0.8349514563106796,1,1.0,True
pos,pos_mz_201.1843_08298,201.18425000000002,1,0.8349514563106796,0.8349514563106796,1,1.0,True
pos,pos_mz_203.1058_08381,203.1058,1,0.941747572815534,0.941747572815534,1,1.0,True
pos,pos_mz_205.0278_08458,205.02779999999998,1,0.8932038834951457,0.8932038834951457,1,1.0,True
pos,pos_mz_205.0642_08464,205.0642,1,0.8349514563106796,0.8349514563106796,1,1.0,True
pos,pos_mz_205.1941_08487,205.1941,1,0.9805825242718447,0.9805825242718447,1,1.0,True
pos,pos_mz_207.1737_08569,207.17365,1,0.9029126213592233,0.9029126213592233,1,1.0,True
pos,pos_mz_211.1320_08735,211.13195000000002,1,0.8058252427184466,0.8058252427184466,1,1.0,True
pos,pos_mz_211.1684_08739,211.16835,1,0.883495145631068,0.883495145631068,1,1.0,True
pos,pos_mz_214.9792_08892,214.97920000000002,1,0.9514563106796117,0.9514563106796117,1,1.0,True
pos,pos_mz_219.1733_09167,219.1733,1,1.0,1.0,1,1.0,True
pos,pos_mz_222.1558_09283,222.1558,1,0.8058252427184466,0.8058252427184466,1,1.0,True
pos,pos_mz_222.1842_09288,222.18421818181815,1,0.912621359223301,0.912621359223301,1,1.0,True
pos,pos_mz_223.0170_09312,223.01695000000004,1,0.8543689320388349,0.8543689320388349,1,1.0,True
pos,pos_mz_223.0625_09321,223.06245,1,0.9320388349514563,0.9320388349514563,1,1.0,True
pos,pos_mz_233.9663_09750,233.96625000000003,1,1.0,1.0,1,1.0,True
pos,pos_mz_235.2046_09822,235.2046,1,0.8252427184466019,0.8252427184466019,1,1.0,True
pos,pos_mz_235.9498_09833,235.94979999999995,1,0.9029126213592233,0.9029126213592233,1,1.0,True
pos,pos_mz_236.9471_09866,236.94705000000002,1,0.8155339805825242,0.8155339805825242,1,1.0,True
pos,pos_mz_252.9604_10370,252.96044999999995,1,0.970873786407767,0.970873786407767,1,1.0,True
pos,pos_mz_252.9696_10372,252.96959999999999,1,0.883495145631068,0.883495145631068,1,1.0,True
pos,pos_mz_253.1780_10392,253.17804999999998,1,0.9611650485436893,0.9611650485436893,1,1.0,True
pos,pos_mz_279.1568_10938,279.15684999999996,1,1.0,1.0,1,1.0,True
pos,pos_mz_329.0020_11550,329.002,1,1.0,1.0,1,1.0,True
pos,pos_mz_330.9993_11566,330.99934,1,1.0,1.0,1,1.0,True
pos,pos_mz_348.9867_11686,348.98667142857136,1,0.9805825242718447,0.9805825242718447,1,1.0,True
pos,pos_mz_55.0545_00359,55.05455,1,1.0,1.0,1,1.0,True
